,0,1,2,domain
0,1,0,0,nytlive.nytimes.com
1,0,0,1,historyundusted.wordpress.com
2,0,0,1,i.redd.it
3,16,11,6,www.news.com.au
4,0,2,0,www.thelocal.se
5,0,1,0,www.tvm.com.mt
6,1,0,0,vertigo.revues.org
7,0,1,0,www.9news.com.au
8,0,1,0,assets.amuniversal.com
9,0,1,0,www.unhcr.org
10,0,1,0,icct.nl
11,0,0,1,static.twentytwowords.com
12,0,0,3,mobile.nytimes.com
13,0,1,0,www.gov.uk
14,2,2,2,addons.mozilla.org
15,0,0,2,www.roymorgan.com
16,0,0,1,zpravy.idnes.cz
17,2,2,1,www.ibtimes.co.uk
18,0,3,0,www.scientificamerican.com
19,0,0,1,www.thisislocallondon.co.uk
20,1,0,0,www.washingtonsblog.com
21,1,0,0,people.com
22,0,1,0,m.liveleak.com
23,0,1,1,www.bloomberg.com
24,1,1,0,www.reference.com
25,1,1,0,www.haaretz.com
26,0,2,0,www.statista.com
27,0,1,0,www.sciencedirect.com
28,0,0,1,www.snopes.com
29,0,1,0,www.med.monash.edu.au
30,2,2,7,www.rt.com
31,1,0,0,www.pcgamer.com
32,9,7,10,www.google.com
33,0,1,0,www.epa.gov
34,0,1,0,www.nasa.gov
35,0,1,0,blogs.discovermagazine.com
36,1,0,0,0.media.dorkly.cvcdn.com
37,0,1,0,politicalvelcraft.org
38,37,42,39,www.youtube.com
39,0,0,1,www.thecipherbrief.com
40,0,1,0,www.truetorahjews.org
41,0,1,0,cfmeu.com.au
42,2,0,0,www.osac.gov
43,1,0,0,www.al-monitor.com
44,0,0,1,stats.oecd.org
45,0,1,0,www.electranet.com.au
46,0,1,1,www.economist.com
47,0,1,0,www.oysterguide.com
48,0,0,2,www.bka.de
49,1,0,0,blogs.reuters.com
50,0,0,2,truepundit.com
51,1,0,0,www.middleeastmonitor.com
52,0,0,1,www.history.com
53,0,1,1,www.wired.com
54,2,2,1,my.buket.pw
55,1,1,2,www.huffingtonpost.com
56,0,3,1,www.ncbi.nlm.nih.gov
57,0,0,1,ru.wikipedia.org
58,1,0,0,syriancivilwarmap.com
59,4,2,2,m.youtube.com
60,0,1,0,blogs.crikey.com.au
61,0,0,1,www.hopeaustralia.org.au
62,0,0,1,amazon.com
63,0,1,0,abc7ny.com
64,1,0,0,www.government.se
65,0,1,0,english.aawsat.com
66,3,3,4,www.telegraph.co.uk
67,0,0,2,www.numbeo.com
68,0,0,1,www.lepoint.fr
69,0,1,0,www.xkcd.com)
70,0,1,0,www.savemysweden.com
71,0,0,1,www.publicpolicypolling.com
72,0,0,2,www.politico.eu
73,0,2,0,www.capitalbay.news
74,0,0,1,medium.com
75,0,1,0,www.cch.com
76,0,0,1,avherald.com
77,0,0,2,www.pbs.org
78,0,1,0,elementsofpower.blogspot.com
79,0,0,1,www.christianpost.com
80,1,0,0,leucatponet1971.tumblr.com
81,0,0,1,ria.ru
82,0,0,1,www.baringarchive.org.uk
83,0,1,0,m.phys.org
84,0,2,0,www2.le.ac.uk
85,0,1,0,cnnphilippines.com
86,0,0,2,heatst.com
87,0,1,0,industry.gov.au
88,0,1,0,www.rowanjacobsen.com
89,1,0,0,www.ir.undp.org
90,0,0,2,www.police.vic.gov.au
91,0,0,1,www.ibm.com
92,0,0,1,www.abs.gov.au
93,0,1,0,www.animalspot.net
94,1,0,0,www.inquisitr.com
95,0,1,1,i0.kym-cdn.com
96,0,0,1,www.couriermail.com.au
97,0,3,0,greens.org.au
98,0,1,0,www.nzherald.co.nz
99,0,1,0,www.paullee.com
100,0,1,0,www.apa.org
101,2,2,1,www.cnbc.com
102,0,0,1,www.bgbl.de
103,0,0,1,www.handelsblatt.com
104,4,4,4,subtletv.com
105,1,0,1,edition.cnn.com
106,1,0,1,news.nationalgeographic.com
107,0,0,2,www.thetimes.co.uk
108,1,0,0,isis.liveuamap.com
109,0,1,0,fullfact.org
110,1,0,0,archive.org
111,0,2,0,www.aims.gov.au
112,0,1,0,www.canadasoilsands.ca
113,0,0,1,www.mediaite.com
114,0,0,1,www.liveleak.com
115,0,1,0,www1.folha.uol.com.br
116,0,1,0,thenib.com
117,0,4,0,www.getup.org.au
118,0,0,1,i2.cdn.turner.com
119,0,1,0,www2.assemblee-nationale.fr
120,0,0,1,mosstuff.quora.com
121,0,0,1,m.excelsior.com.mx
122,0,1,1,www.huffingtonpost.ca
123,0,1,0,www.wackywallscapes.com
124,1,0,0,www.zeit.de
125,0,0,1,pizzagate.wiki
126,0,0,1,www.badische-zeitung.de
127,1,1,0,www.documentcloud.org
128,1,0,0,observer.com
129,0,1,0,www.fws.gov
130,0,0,1,www.cbsnews.com
131,0,0,1,www.beckenham.net
132,0,0,1,slatestarcodex.com
133,1,0,0,vignette2.wikia.nocookie.net
134,1,0,0,gimletmedia.com
135,1,0,0,reason.com
136,0,0,1,www.siasat.com
137,1,1,0,lmgtfy.com
138,1,1,5,www.dw.com
139,0,0,1,vndb.org
140,0,1,0,www.blick.ch
141,0,1,0,sanfrancisco.cbslocal.com
142,1,0,0,www.stripes.com
143,0,0,1,www.baltictowns.com
144,1,0,2,www.swr.de
145,0,1,2,arstechnica.com
146,1,6,5,www.welt.de
147,0,0,1,freepubtrivia.com
148,0,0,2,www.smithsonianmag.com
149,4,6,10,www.thesun.co.uk
150,1,0,0,www.mindnederland.nl
151,0,0,1,www.mediawiki.org
152,0,1,0,archive.defense.gov
153,1,2,2,metro.co.uk
154,0,2,0,i2.kym-cdn.com
155,2,0,0,turcopolier.typepad.com
156,0,1,3,www.bbc.co.uk
157,0,1,0,www.end-times-prophecy.org
158,5,6,3,twitter.com
159,0,0,1,unt.se
160,0,1,0,www.wri.org
161,0,0,1,en.oxforddictionaries.com
162,1,0,0,corporate.exxonmobil.com
163,2,6,4,www.independent.co.uk
164,0,1,0,www.japantimes.co.jp
165,0,2,0,www.lfpress.com
166,0,1,1,www.law.cornell.edu
167,0,0,1,www.yorkshirepost.co.uk
168,0,2,0,www.trudeaumetre.ca
169,1,0,0,news.bbc.co.uk
170,0,0,1,www.surreycomet.co.uk
171,1,0,1,www.reactiongifs.com
172,0,1,0,benefitofseo.blogspot.com
173,0,0,1,www.usnews.com
174,0,0,2,www.asylumineurope.org
175,0,1,0,www.uxc.com
176,0,1,0,www.firstsolar.com
177,0,0,1,www.bmi.bund.de
178,0,0,1,lectures.quantecon.org
179,0,0,1,isdsblog.com
180,0,0,1,vimeo.com
181,1,1,1,www.aljazeera.com
182,0,2,1,www.imdb.com
183,0,0,1,www.anorak.co.uk
184,0,0,1,articles.latimes.com
185,1,0,0,www.alaraby.co.uk
186,0,1,0,www.amazon.co.uk
187,0,0,1,www.quotidiano.net
188,1,5,3,www.forbes.com
189,0,2,0,www.manufacturing.net
190,0,1,0,www.usmissionbrazil.org
191,1,0,0,iranprimer.usip.org
192,0,0,1,www.loc.gov
193,0,1,0,modernfarmer.com
194,0,0,1,www.jetforums.net
195,5,4,2,github.com
196,0,1,0,europe.newsweek.com
197,0,1,1,www.sueddeutsche.de
198,0,1,0,whatisnuclear.com
199,1,2,0,www.craigmurray.org.uk
200,0,1,0,solargis.com
201,0,2,0,www.thenewamerican.com
202,0,1,0,inews.co.uk
203,0,0,1,www.psychologytoday.com
204,0,1,1,www.nature.com
205,0,0,1,www.radiotimes.com
206,1,0,0,dailycaller.com
207,0,1,0,kingencyclopedia.stanford.edu
208,1,2,1,www.businessinsider.com
209,0,1,0,carnegieendowment.org
210,0,1,0,m.xkcd.com
211,1,0,0,www.radionz.co.nz
212,0,0,1,people.uncw.edu
213,0,1,0,www.sott.net
214,0,1,0,www.ratp.fr
215,1,0,8,theintercept.com
216,1,0,0,in.reuters.com
217,2,1,1,www.newsweek.com
218,1,0,0,yourlogicalfallacyis.com
219,0,2,1,www.cnn.com
220,0,0,1,nuclearsecrecy.com
221,1,0,1,www.google.ca
222,1,0,0,books.google.com
223,0,1,0,www.greatbarrierreef.com.au
224,0,1,0,deadstate.org
225,0,1,0,www.nbcnews.com
226,0,1,2,time.com
227,0,1,0,www.justice.gov
228,1,0,1,scrolldownandread.blogspot.com
229,1,0,0,www.aarp.org
230,1,0,0,www.support-julian-assange.com
231,0,1,0,g.fool.com
232,0,0,1,www.reactiongifs.us
233,0,1,0,lawnewz.com
234,1,0,0,www.btselem.org
235,0,0,1,news.ltn.com.tw
236,0,0,2,www.tagesschau.de
237,0,1,1,themoscowtimes.com
238,0,1,0,axleaddict.com
239,1,1,0,www.merriam-webster.com
240,0,1,0,www.academia.edu
241,1,0,0,www.stern.de
242,0,0,1,www.globalfirepower.com
243,0,0,2,thediplomat.com
244,1,0,0,weknowmemes.com
245,0,0,1,foreignpolicy.com
246,1,0,0,islamqa.info
247,1,0,4,gizmodo.com
248,0,0,1,reactiongif.org
249,0,0,1,en.reporter-ua.ru
250,0,0,3,ren.tv
251,0,1,0,www.allgemeine-zeitung.de
252,0,0,1,psychcentral.com
253,1,0,0,1.bp.blogspot.com
254,0,3,0,en.wiktionary.org
255,0,1,1,www.globalresearch.ca
256,0,0,1,www.logicallyfallacious.com
257,5,2,7,www.washingtonpost.com
258,0,0,1,www.usatoday.com
259,0,0,2,www.faz.net
260,1,0,0,twitchy.com
261,1,0,0,www.britannica.com
262,0,2,0,www.americanthinker.com
263,0,3,0,www.bmj.com
264,0,1,0,m.motherjones.com
265,0,0,1,www.skynews.com.au
266,0,1,0,sportsbuzz.info
267,0,1,0,c1cleantechnicacom-wpengine.netdna-ssl.com
268,0,1,0,video.nationalgeographic.com
269,0,0,1,www.koreatimes.co.kr
270,0,1,0,www.world-nuclear.org
271,0,1,0,www.edf.org
272,0,0,1,ic.pics.livejournal.com
273,0,1,0,euobserver.com
274,1,0,0,www.rightwingwatch.org
275,0,5,0,www.breitbart.com
276,0,0,1,www.hrw.org
277,1,0,1,abcnews.go.com
278,4,17,3,www.theguardian.com
279,0,0,1,www.eurasianet.org
280,0,0,1,www.transport.wa.gov.au
281,0,0,1,m.washingtontimes.com
282,0,1,0,news.stanford.edu
283,0,0,1,davinasquirrel.wordpress.com
284,0,0,1,www.zoominfo.com
285,0,0,1,www.hln.be
286,0,0,1,is.4chan.org
