,views,start_date,end_date,wiki,gender,imagecount,url,peopleID,genderNames,occupationNames,ethnicity,religion,citizenshipNames,position,birthplace,birthCountry,birthContinent,occupationType,locationIDs,zhwiki,enwiki,hiwiki,eswiki,ruwiki,arwiki,ptwiki,bnwiki,frwiki,idwiki,quality_zhwiki,quality_enwiki,quality_hiwiki,quality_eswiki,quality_ruwiki,quality_arwiki,quality_ptwiki,quality_bnwiki,quality_frwiki,quality_idwiki,numLangPage,pageID_zhwiki,pageID_enwiki,pageID_hiwiki,pageID_eswiki,pageID_ruwiki,pageID_arwiki,pageID_ptwiki,pageID_bnwiki,pageID_frwiki,pageID_idwiki,pageLength_zhwiki,pageLength_enwiki,pageLength_hiwiki,pageLength_eswiki,pageLength_ruwiki,pageLength_arwiki,pageLength_ptwiki,pageLength_bnwiki,pageLength_frwiki,pageLength_idwiki,pageQuality_enwiki,pageQuality_zhwiki,pageQuality_hiwiki,pageQuality_eswiki,pageQuality_ruwiki,pageQuality_arwiki,pageQuality_ptwiki,pageQuality_bnwiki,pageQuality_frwiki,pageQuality_idwiki,views_2022010100,views_2022020100,views_2022030100,views_2022040100,views_2022050100,log1p_views,any_image,log1p_pageLength_enwiki,log1p_views_2022040100,log1p_views_2022010100,log1p_views_2022050100,log1p_views_2022020100,log1p_views_2022030100
0,,20220101,20220601,en,female,0,https://wikimedia.org/api/rest_v1/metrics/pageviews/per-article/en.wikipedia.org/all-access/user/Marthe_de_Kerchove_de_Denterghem/monthly/20220101/20220601,Q2158495,female,feminist,NA,NA,Kingdom of the Netherlands,NA,Ghent,Belgium,Europe,NA,Q1296,-1,0,-1,-1,-1,-1,-1,-1,1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,-1,15658378,-1,-1,-1,-1,-1,-1,12685441,-1,-1,4498,-1,-1,-1,-1,-1,-1,13867,-1,0.360432,-1,-1,-1,-1,-1,-1,-1,0.98424053,-1,29.0,27.0,20.0,23.0,16.0,,False,8.411610428841172,3.1780538303479458,3.4011973816621555,2.833213344056216,3.332204510175204,3.044522437723423
1,,20220101,20220601,en,female,0,https://wikimedia.org/api/rest_v1/metrics/pageviews/per-article/en.wikipedia.org/all-access/user/Lisa_White_%28geologist%29/monthly/20220101/20220601,Q30121983,female,paleontologist,NA,NA,NA,NA,NA,NA,NA,Science & Technology,NA,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,-1,53290732,-1,-1,-1,-1,-1,-1,-1,-1,-1,8309,-1,-1,-1,-1,-1,-1,-1,-1,0.9102638,-1,-1,-1,-1,-1,-1,-1,-1,-1,221.0,638.0,277.0,65.0,75.0,,False,9.025214887849494,4.189654742026425,5.402677381872279,4.330733340286331,6.459904454377535,5.627621113690637
2,,20220101,20220601,en,female,0,https://wikimedia.org/api/rest_v1/metrics/pageviews/per-article/en.wikipedia.org/all-access/user/Sarii_Yoshizawa/monthly/20220101/20220601,Q7424072,female,model,NA,NA,Japan,NA,Kanagawa Prefecture,Japan,Asia,Other,Q127513,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,-1,14984814,-1,-1,-1,-1,-1,-1,-1,-1,-1,2025,-1,-1,-1,-1,-1,-1,-1,-1,0.395136,-1,-1,-1,-1,-1,-1,-1,-1,-1,71.0,56.0,68.0,57.0,64.0,,False,7.613818684808629,4.060443010546419,4.276666119016055,4.174387269895637,4.04305126783455,4.23410650459726
3,,20220101,20220601,en,female,0,https://wikimedia.org/api/rest_v1/metrics/pageviews/per-article/en.wikipedia.org/all-access/user/Olga_Forsh/monthly/20220101/20220601,Q458567,female,writer,NA,NA,Soviet Union,NA,Republic of Dagestan,Russia,Asia,Arts,Q5118,-1,0,-1,-1,0,-1,0,-1,1,-1,NA,NA,NA,NA,NA,NA,NA,NA,0.01317561,NA,12,-1,32003873,-1,-1,1591870,-1,6134759,-1,5426645,-1,-1,7355,-1,-1,16397,-1,5028,-1,5970,-1,0.9582721,-1,-1,-1,0.6927018,-1,0.9112292,-1,0.5285724,-1,74.0,80.0,88.0,69.0,83.0,,False,8.903271585724212,4.248495242049359,4.31748811353631,4.430816798843313,4.394449154672439,4.48863636973214
4,,20220101,20220601,en,female,0,https://wikimedia.org/api/rest_v1/metrics/pageviews/per-article/en.wikipedia.org/all-access/user/Karin_Wolverton/monthly/20220101/20220601,Q22097277,female,opera singer,NA,NA,NA,NA,NA,NA,NA,Arts,NA,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-1,48234641,-1,-1,-1,-1,-1,-1,-1,-1,-1,5273,-1,-1,-1,-1,-1,-1,-1,-1,0.7994826,-1,-1,-1,-1,-1,-1,-1,-1,-1,13.0,16.0,9.0,3.0,9.0,,False,8.570544366913232,1.3862943611198906,2.6390573296152584,2.302585092994046,2.833213344056216,2.302585092994046
5,,20220101,20220601,en,female,0,https://wikimedia.org/api/rest_v1/metrics/pageviews/per-article/en.wikipedia.org/all-access/user/Andrea_Horv%C3%A1thov%C3%A1/monthly/20220101/20220601,Q66840958,female,association football player,NA,NA,NA,NA,NA,NA,NA,Sports,NA,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-1,61644446,-1,-1,-1,-1,-1,-1,-1,-1,-1,2045,-1,-1,-1,-1,-1,-1,-1,-1,0.3920947,-1,-1,-1,-1,-1,-1,-1,-1,-1,16.0,22.0,21.0,21.0,18.0,,False,7.6236419465115715,3.091042453358316,2.833213344056216,2.9444389791664403,3.1354942159291497,3.091042453358316
6,,20220101,20220601,en,female,0,https://wikimedia.org/api/rest_v1/metrics/pageviews/per-article/en.wikipedia.org/all-access/user/Almudena_Mu%C3%B1oz/monthly/20220101/20220601,Q2839175,female,judoka,NA,NA,Spain,NA,Valencia,Spain,Europe,Sports,Q8818,-1,0,-1,0,0,1,-1,-1,1,-1,NA,NA,NA,NA,NA,0.2579534,NA,NA,0.1001558,NA,14,-1,9757629,-1,2188214,6424376,1303863,-1,-1,1686693,-1,-1,2183,-1,3217,7710,6173,-1,-1,3336,-1,0.2577462,-1,-1,0.4662929,0.3348639,0.5867666,-1,-1,0.4646111,-1,33.0,48.0,32.0,35.0,34.0,,False,7.688913336864796,3.58351893845611,3.5263605246161616,3.5553480614894135,3.8918202981106265,3.4965075614664802
7,,20220101,20220601,en,female,0,https://wikimedia.org/api/rest_v1/metrics/pageviews/per-article/en.wikipedia.org/all-access/user/Cyme_Lulaj/monthly/20220101/20220601,Q66836371,female,association football player,NA,NA,NA,NA,NA,NA,NA,Sports,NA,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-1,61644035,-1,-1,-1,-1,-1,-1,-1,-1,-1,1854,-1,-1,-1,-1,-1,-1,-1,-1,0.392615,-1,-1,-1,-1,-1,-1,-1,-1,-1,15.0,14.0,27.0,20.0,27.0,,False,7.5256399750415355,3.044522437723423,2.772588722239781,3.332204510175204,2.70805020110221,3.332204510175204
8,,20220101,20220601,en,female,0,https://wikimedia.org/api/rest_v1/metrics/pageviews/per-article/en.wikipedia.org/all-access/user/Farrah_Hall/monthly/20220101/20220601,Q5436223,female,windsurfer,NA,NA,United States of America,NA,NA,NA,NA,NA,NA,-1,0,-1,-1,-1,1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,-1,37949795,-1,-1,-1,6220215,-1,-1,-1,-1,-1,2297,-1,-1,-1,1594,-1,-1,-1,-1,0.4926336,-1,-1,-1,-1,0.3573473,-1,-1,-1,-1,57.0,61.0,63.0,59.0,61.0,,False,7.739794458408701,4.0943445622221,4.060443010546419,4.127134385045092,4.127134385045092,4.1588830833596715
9,,20220101,20220601,en,female,0,https://wikimedia.org/api/rest_v1/metrics/pageviews/per-article/en.wikipedia.org/all-access/user/Helen_Norfolk/monthly/20220101/20220601,Q10860563,female,swimmer,NA,NA,New Zealand,NA,Christchurch,New Zealand,Oceania,Sports,Q79990,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,-1,19684236,-1,-1,-1,-1,-1,-1,-1,-1,-1,2590,-1,-1,-1,-1,-1,-1,-1,-1,0.3047869,-1,-1,-1,-1,-1,-1,-1,-1,-1,25.0,14.0,22.0,34.0,25.0,,False,7.85979918056211,3.5553480614894135,3.258096538021482,3.258096538021482,2.70805020110221,3.1354942159291497
